market_ticker,series,family,class,timestamp,track,arm,prior_outcome,streak_direction,streak_length,strike,spot,z_dir,model_prob_yes,market_yes_bid,market_yes_ask,exec_price,edge,fee,slippage,side,size,kelly_units,resolution,gross_pnl,net_pnl,split
KXMLBTOTAL-26AUG221610WSHMIA-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-22T21:59:49Z,A,A0_mirror,no,no,1,6.5,,,0.670567,85,86,86,-20.9433,1,1,yes,1,2,no,-86,-88,holdout
KXMLBTOTAL-26AUG221610WSHMIA-12,KXMLBTOTAL,KXMLBTOTAL|12,BASEBALL_TOTAL,2026-08-22T21:59:50Z,A,A0_mirror,no,no,14,11.5,,,0.269824,15,16,85,-13.9824,1,1,no,1,1,no,15,13,holdout
KXMLBTOTAL-26AUG221610WSHMIA-13,KXMLBTOTAL,KXMLBTOTAL|13,BASEBALL_TOTAL,2026-08-22T21:59:50Z,A,A0_mirror,no,no,11,12.5,,,0.253122,10,13,90,-17.3122,1,1,no,1,1,no,10,8,holdout
KXMLBTOTAL-26AUG221610WSHMIA-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-22T21:59:50Z,A,A0_mirror,no,no,2,7.5,,,0.551732,64,66,66,-13.8268,2,1,yes,1,1,no,-66,-69,holdout
KXMLBTOTAL-26AUG221915PITLAD-2,KXMLBTOTAL,KXMLBTOTAL|2,BASEBALL_TOTAL,2026-08-22T22:34:35Z,A,A0_mirror,yes,yes,8,1.5,,,0.902387,97,98,98,-9.7613,1,1,yes,1,1,yes,2,0,holdout
KXMLBTOTAL-26AUG221805STLPHI-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-22T22:59:52Z,A,A0_mirror,no,no,4,9.5,,,0.392086,48,49,49,-12.7914,2,1,yes,1,2,yes,51,48,holdout
KXMLBTOTAL-26AUG221805STLPHI-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-22T22:59:52Z,A,A0_mirror,no,no,3,7.5,,,0.551732,70,71,71,-18.8268,2,1,yes,1,2,yes,29,26,holdout
KXMLBTOTAL-26AUG221805STLPHI-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-22T22:59:52Z,A,A0_mirror,no,no,3,8.5,,,0.469713,60,62,62,-18.0287,2,1,yes,1,2,yes,38,35,holdout
KXMLBTOTAL-26AUG221805STLPHI-14,KXMLBTOTAL,KXMLBTOTAL|14,BASEBALL_TOTAL,2026-08-22T23:29:51Z,A,A0_mirror,no,no,7,13.5,,,0.300533,18,19,82,-15.0533,2,1,no,1,1,yes,-82,-85,holdout
KXMLBTOTAL-26AUG221915PITLAD-5,KXMLBTOTAL,KXMLBTOTAL|5,BASEBALL_TOTAL,2026-08-22T23:39:40Z,A,A0_mirror,yes,yes,5,4.5,,,0.840914,96,98,98,-15.9086,1,1,yes,1,1,yes,2,0,holdout
KXMLBTOTAL-26AUG221805STLPHI-15,KXMLBTOTAL,KXMLBTOTAL|15,BASEBALL_TOTAL,2026-08-22T23:39:42Z,A,A0_mirror,no,no,5,14.5,,,0.363941,9,19,91,-29.3941,1,1,no,1,2,yes,-91,-93,holdout
