# ops request [READ]
# type=db  id=rl-graduation-seed-1
# code 46661a984dc183c0df68f5291df2026ad00e570a · started 2026-09-05T20:30:21Z
series                      classified  settled_markets  markets  pnl    
KXBRASILEIROBGAME           True        6                6        -2.18  
KXMLBHRDERBY500             True        6                6        2.78   
KXBKNUGGETS                 True        6                6        1.64   
KXEPLTEAMTOTAL              False       6                6        1.19   
KXNASCARTOP10               True        6                6        -0.25  
KXNETFLIXTOPVIEWSMOVIE      True        6                6        3.18   
KXNETFLIXRANKMOVIERUNNERUP  True        6                6        0.23   
KXCPINDEX                   True        6                13       3.96   
KXEURUSD                    True        6                6        0.67   
KXEURUSDAW                  True        6                6        0.86   
KXCPIYOY                    True        6                9        4.13   
KXAMZNCC                    False       5                5        -4.14  
KXETHMAXMON                 False       5                5        -18.55 
KXFINYLTOTAL                True        5                5        -10.90 
KXWT20MATCH                 False       5                5        1.11   
KXLIGUE1SPREAD              False       5                5        0.82   
KXCHNSLSPREAD               True        5                5        -4.20  
KXCZEFNLTOTAL               True        5                5        0.81   
KXWCFIRSTSONG               True        5                5        2.53   
KXUSGASCPI                  True        5                5        -0.26  
KXRAINCHIM                  True        5                5        1.19   
KXURYPDGAME                 True        5                6        1.21   
KXECONSTATCPI               True        5                5        2.76   
KXNETFLIXRANKMOVIE          True        5                5        1.19   
KXWTAEXACTMATCH             True        5                5        1.84   
KXECULPSPREAD               True        5                5        -0.80  
KXWCAWARD                   True        5                5        -6.33  
KXWC1HBTTS                  True        5                5        0.60   
KXLIGAMXTEAMTOTAL           True        5                5        1.31   
KXCPICOREYOY                True        5                5        1.93   
KXKBOSPREAD                 True        5                5        0.74   
KXSPACEXCOUNT               True        4                4        1.55   
KXAFLGAME                   True        4                4        -0.03  
KXARMOMINF                  True        4                4        -1.23  
KXBILLBOARDRUNNERUPSONG     True        4                4        0.87   
KXBNBMINMON                 True        4                4        1.28   
KXBRASILEIROCGAME           True        4                4        -3.29  
KXCFLGAME                   False       4                4        1.81   
KXCHINAAI                   True        4                4        0.55   
KXCONMEBOLSUDSPREAD         True        4                4        0.90   
KXCOPADOBRASILTOTAL         False       4                4        1.06   
KXCOPPAITALIAGAME           True        4                4        0.97   
KXCOPPERW                   False       4                4        0.03   
KXCPICORE                   True        4                4        2.04   
KXCZEFLTOTAL                False       4                4        0.69   
KXDFBPOKALTOTAL             False       4                4        0.43   
KXECONSTATCORECPIYOY        True        4                4        2.17   
KXEKSTRAKLASAGAME           False       4                4        0.97   
KXENGCSTOTAL                True        4                4        1.15   
KXEPL1H                     False       4                4        0.74   
KXGPT                       True        4                5        2.72   
KXGRECUPGAME                False       4                4        1.32   
KXJ2LEAGUEGAME              True        4                4        0.70   
KXLALIGA2TOTAL              False       4                4        0.58   
KXMAMDANIMENTION            False       4                4        1.26   
KXMC                        False       4                5        0.73   
KXMLS1H                     True        4                4        0.25   
