# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXCHAMPTOUR              filled    (null)                                                                                                                                                                                                    2    2026-08-16 10:35:00.841806+00  2026-08-16 10:35:03.466363+00
KXCHAMPTOUR              canceled  timeout                                                                                                                                                                                                   2    2026-08-16 02:19:55.226549+00  2026-08-16 06:27:02.414707+00
KXCHINAAI                canceled  timeout                                                                                                                                                                                                   3    2026-08-13 05:21:54.55179+00   2026-08-14 09:45:33.672081+00
KXCHLLDPGAME             rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 18:02:27.778137+00  2026-08-09 18:02:27.778137+00
KXCHNSLGAME              canceled  (null)                                                                                                                                                                                                    2    2026-08-14 13:28:43.458669+00  2026-08-18 13:13:19.750203+00
KXCHNSLGAME              filled    (null)                                                                                                                                                                                                    2    2026-08-15 12:51:40.607837+00  2026-08-29 13:43:04.674502+00
KXCHNSLSPREAD            filled    (null)                                                                                                                                                                                                    2    2026-08-14 12:55:28.43578+00   2026-08-14 13:30:26.113889+00
KXCHNSLTOTAL             filled    (null)                                                                                                                                                                                                    2    2026-08-09 12:49:13.661786+00  2026-08-15 13:16:50.937152+00
KXCHNSLTOTAL             canceled  book_stood_down                                                                                                                                                                                           1    2026-08-15 12:48:43.635015+00  2026-08-15 12:48:43.635015+00
KXCLARITYVOTE            rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-06 16:38:32.717303+00  2026-08-06 16:38:32.717303+00
KXCLUBFGAME              filled    (null)                                                                                                                                                                                                    21   2026-08-02 20:41:49.786181+00  2026-08-19 17:45:41.018163+00
KXCLUBFGAME              canceled  (null)                                                                                                                                                                                                    4    2026-08-09 17:00:59.592747+00  2026-08-16 18:09:58.183877+00
KXCLUBFGAME              rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 06:02:49.571404+00  2026-08-09 06:02:49.571404+00
KXCLUBFSPREAD            filled    (null)                                                                                                                                                                                                    2    2026-08-12 19:00:29.916012+00  2026-08-15 13:59:25.64773+00 
KXCLUBFSPREAD            canceled  (null)                                                                                                                                                                                                    1    2026-08-15 13:59:24.397279+00  2026-08-15 13:59:24.397279+00
KXCLUBFTOTAL             filled    (null)                                                                                                                                                                                                    6    2026-08-11 06:45:24.60302+00   2026-08-16 15:47:44.218045+00
KXCLUBFTOTAL             canceled  (null)                                                                                                                                                                                                    5    2026-08-09 17:01:13.054583+00  2026-08-15 14:17:19.090293+00
